																																										
General Info																																										
																																										
Run information																																										
	Session name				KINabsMW_245_265_141105_15																																					
	Session creator				admin																																					
	Run name				KINabsMW_245_265_141105_15-Monday.17.November-16:29:11																																					
	Run creator				admin																																					
	Run started				11/17/2014 16:29:11+01:00																																					
	Total warnings				0																																					
	Total errors				0																																					
																																										
Instrument parameters																																										
	Instrument name				Varioskan																																					
	Instrument version				3.01.15																																					
	Instrument serial number				74																																					
	Actual instrument temperature				<MIN 29.9 29.9																																					
	Dispenser				1																																					
	LumiSens module				N\A																																					
	LumiSens scaling factor				N\A																																					
																																										
SW Parameters																																										
	Run Software Version				SkanIt Software 2.4.3 RE for Varioskan																																					
	Current Software Version				SkanIt Software 2.4.3 RE for Varioskan																																					

																																										
Sample Data																																										

																																										
Steps Data																																										
																																										
Protocol properties																																										
	Protocol name				KINabsMW_245_265_141105_15																																					
	Protocol description				Acetophenone-like kinetic assay 245nm and 265nm																																					
	Plate template				96-well Greiner Bio-One, flat bottom plate																																					
	Execution block type				plate																																					
	Execution order				3																																					
	Settle delay [ms]				0																																					
	Well interval [ms]				0																																					
																																										
KineticLoop1																																										
	Readings				21																																					
	Kinetic interval				0:00:40.0																																					
																																										
Photometric1																																										
	Measurement technology				Photometric																																					
	Measurement type				Multiple measurements kinetic																																					
	Step duration				0:00:00.0																																					
	Lag time				0:00:00.0																																					
	Measurement time [ms]				100																																					
	Bandwidth [nm]				5																																					
	Multipoint				Not in use																																					
	Multiple wavelengths				True																																					
	Measurement interval [ms]				0																																					
	Wavelength [nm]				245																																					
	Wavelength [nm]				265																																					
																																										
KineticCalculation1																																										
	Processor Type				AvgRate																																					
	Reaction				Undefined																																					
	Kinetic Rate				s																																					
	Ignore First N Readings				0																																					
	Ignore Last N Readings				0																																					
	Window				1																																					
	Baseline				0																																					
	Reading Index				1																																					
	Change type				Absolute																																					
	Change value				0																																					

																																										
Photometric1																																										
																																										
Plate	Well	Type	Sample	Value	Time (s)	WL	Read.																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.617045	0	245	1																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.480125	0.14	265	1																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.655042	40	245	2																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.489235	40.13	265	2																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.692549	80	245	3																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.49736	80.13	265	3																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.731619	120	245	4																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.505911	120.13	265	4																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.771897	160	245	5																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.514975	160.13	265	5																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.811764	200	245	6																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.523677	200.13	265	6																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.853227	240	245	7																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.532741	240.13	265	7																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.894448	280	245	8																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.541727	280.13	265	8																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.936444	320	245	9																																			
593	A01	Unknown	AcetoPhAssay 1/96	0.55091	320.13	265	9																																			
